Active Status,Type,Sku,Description,Sales Tax Code,Account,COGS Account,Asset Account,Accumulated Depreciation,Purchase Description,Quantity On Hand (2025),U/M,U/M Set,Cost,Preferred Vendor,Tax Agency,Price,Reorder Pt (Min),MPN,Category
Active,Inventory Part,14977,"38"" Meditating Buddha on Lotus",Tax,Decor:Figurines,COG's:Decor:Misc,12100 · Inventory Asset,0,"38"" Meditating Buddha on Lotus",1,each (ea),Count in each,375,,,,,,
Active,Inventory Part,1KG1.0MM-B,1kg bonsai wire [1.0mm] - Brown/Copper,Non,Supplies:Wire,COG's:Supplies,12100 · Inventory Asset,0,1kg bonsai wire [1.0mm] - Brown/Copper,33,each (ea),Count in each,8,Yangjiang Huihesheng Trading Co Ltd,,17.5,,,
Active,Inventory Part,1KG1.5MM-B,1kg bonsai wire [1.5mm] - Brown/Copper,Non,Supplies:Wire,COG's:Supplies,12100 · Inventory Asset,0,1kg bonsai wire [1.5mm] - Brown/Copper,0,each (ea),Count in each,8,Yangjiang Huihesheng Trading Co Ltd,,28.95,,,
Active,Inventory Part,1KG2.0MM-B,1kg bonsai wire [2.0mm] - Brown/Copper,Non,Supplies:Wire,COG's:Supplies,12100 · Inventory Asset,0,1kg bonsai wire [2.0mm] - Brown/Copper,23,each (ea),Count in each,8,Yangjiang Huihesheng Trading Co Ltd,,28.95,,,
Active,Inventory Part,1KG2.5MM-B,1kg bonsai wire [2.5mm] - Brown/Copper,Non,Supplies:Wire,COG's:Supplies,12100 · Inventory Asset,0,1kg bonsai wire [2.5mm] - Brown/Copper,1,each (ea),Count in each,8,Yangjiang Huihesheng Trading Co Ltd,,28.95,,,
Active,Inventory Part,1KG3.0MM-B,1kg bonsai wire [3.0mm] - Brown/Copper,Tax,Supplies:Wire,COG's:Supplies,12100 · Inventory Asset,0,1kg bonsai wire [3.0mm] - Brown/Copper,1,each (ea),Count in each,8,Yangjiang Huihesheng Trading Co Ltd,,28.95,,,
Active,Inventory Part,1KG3.5MM-B,1kg bonsai wire [3.5mm] - Brown/Copper,Non,Supplies:Wire,COG's:Supplies,12100 · Inventory Asset,0,1kg bonsai wire [3.5mm] - Brown/Copper,27,each (ea),Count in each,8,Yangjiang Huihesheng Trading Co Ltd,,28.95,,,
Active,Inventory Part,1KG4.0MM-B,1kg bonsai wire [4.0mm] - Brown/Copper,Non,Supplies:Wire,COG's:Supplies,12100 · Inventory Asset,0,1kg bonsai wire [4.0mm] - Brown/Copper,29,each (ea),Count in each,8,Yangjiang Huihesheng Trading Co Ltd,,28.95,,,
Active,Inventory Part,1KG4.5MM-B,1kg bonsai wire [4.5mm] - Brown/Copper,Non,Supplies:Wire,COG's:Supplies,12100 · Inventory Asset,0,1kg bonsai wire [4.5mm] - Brown/Copper,71,each (ea),Count in each,8,Yangjiang Huihesheng Trading Co Ltd,,28.95,,,
Active,Inventory Part,1KG5.0MM-B,1kg bonsai wire [5.0mm] - Brown/Copper,Non,Supplies:Wire,COG's:Supplies,12100 · Inventory Asset,0,1kg bonsai wire [5.0mm] - Brown/Copper,32,each (ea),Count in each,8,Yangjiang Huihesheng Trading Co Ltd,,28.95,,,
Active,Inventory Part,1KG5.5MM-B,1kg bonsai wire [5.5mm] - Brown/Copper,Non,Supplies:Wire,COG's:Supplies,12100 · Inventory Asset,0,1kg bonsai wire [5.5mm] - Brown/Copper,3,each (ea),Count in each,8,Yangjiang Huihesheng Trading Co Ltd,,28.95,,,
Active,Inventory Part,1KG6.0MM-B,1kg bonsai wire [6.0mm] - Brown/Copper,Non,Supplies:Wire,COG's:Supplies,12100 · Inventory Asset,0,1kg bonsai wire [6.0mm] - Brown/Copper,5,each (ea),Count in each,8,Yangjiang Huihesheng Trading Co Ltd,,28.95,,,
Active,Inventory Part,AA-554,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,45,Andrew Arnault,,63,,,
Active,Inventory Part,AA-565,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,35,Andrew Arnault,,49,,,
Active,Inventory Part,AA-569,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,40,Andrew Arnault,,56,,,
Active,Inventory Part,AA-573,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,25,Andrew Arnault,,35,,,
Active,Inventory Part,AA-574,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,30,Andrew Arnault,,42,,,
Active,Inventory Part,AA-587,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,40,Andrew Arnault,,55,,,
Active,Inventory Part,AA-588,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,35,Andrew Arnault,,50,,,
Active,Inventory Part,AA-589,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,45,Andrew Arnault,,65,,,
Active,Inventory Part,AA-592,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,45,Andrew Arnault,,65,,,
Active,Inventory Part,AA-594,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,45,Andrew Arnault,,65,,,
Active,Inventory Part,AA-596,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,35,Andrew Arnault,,50,,,
Active,Inventory Part,AA-598,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,35,Andrew Arnault,,50,,,
Active,Inventory Part,AA-600,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,35,Andrew Arnault,,50,,,
Active,Inventory Part,AA-604,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,35,Andrew Arnault,,50,,,
Active,Inventory Part,AA-608,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,30,Andrew Arnault,,45,,,
Active,Inventory Part,AA-609,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,35,Andrew Arnault,,50,,,
Active,Inventory Part,AA-611,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,50,Andrew Arnault,,70,,,
Active,Inventory Part,AA-616,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,35,Andrew Arnault,,50,,,
Active,Inventory Part,AA-625,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,35,Andrew Arnault,,50,,,
Active,Inventory Part,AA-626,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,40,Andrew Arnault,,60,,,
Active,Inventory Part,AA-627,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,35,Andrew Arnault,,50,,,
Active,Inventory Part,AA-629,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,35,Andrew Arnault,,50,,,
Active,Inventory Part,AA-633A,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,50,Andrew Arnault,,70,,,
Active,Inventory Part,AA-635,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,45,Andrew Arnault,,65,,,
Active,Inventory Part,AA-636,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,70,Andrew Arnault,,98,,,
Active,Inventory Part,AA-638,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,50,Andrew Arnault,,70,,,
Active,Inventory Part,AA-641,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,50,Andrew Arnault,,70,,,
Active,Inventory Part,AA-642,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,50,Andrew Arnault,,70,,,
Active,Inventory Part,AA-644,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,50,Andrew Arnault,,70,,,
Active,Inventory Part,AA-645,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,35,Andrew Arnault,,50,,,
Active,Inventory Part,AA-647,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,36,Andrew Arnault,,60,,,
Active,Inventory Part,AA-648,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,33,Andrew Arnault,,55,,,
Active,Inventory Part,AA-649,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,33,Andrew Arnault,,55,,,
Active,Inventory Part,AA-652,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,36,Andrew Arnault,,60,,,
Active,Inventory Part,AA-655,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,42,Andrew Arnault,,70,,,
Active,Inventory Part,AA-656,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,24,Andrew Arnault,,40,,,
Active,Inventory Part,AA-657,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,30,Andrew Arnault,,50,,,
Active,Inventory Part,AA-658,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,42,Andrew Arnault,,70,,,
Active,Inventory Part,AA-661,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,39,Andrew Arnault,,65,,,
Active,Inventory Part,AA-662,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,42,Andrew Arnault,,70,,,
Active,Inventory Part,AA-666,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,27,Andrew Arnault,,45,,,
Active,Inventory Part,AA-667,Andy Arnault Pot,Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,42,Andrew Arnault,,70,,,
Active,Inventory Part,AA-701,Andy Arnault Pot (1016),Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot (1016),1,each (ea),Count in each,70,Andrew Arnault,,98,,1016,
Active,Inventory Part,AA-702,Andy Arnault Pot (1089),Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot (1089),1,each (ea),Count in each,45,Andrew Arnault,,63,,1089,
Active,Inventory Part,AA-703,Andy Arnault Pot (1090),Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot (1090),1,each (ea),Count in each,70,Andrew Arnault,,98,,1090,
Active,Inventory Part,AA-704,Andy Arnault Pot (1091),Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot (1091),1,each (ea),Count in each,70,Andrew Arnault,,98,,1091,
Active,Inventory Part,AA-705,Andy Arnault Pot (1093),Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot (1093),1,each (ea),Count in each,70,Andrew Arnault,,98,,1093,
Active,Inventory Part,AA-706,Andy Arnault Pot (1094),Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot (1094),1,each (ea),Count in each,70,Andrew Arnault,,98,,1094,
Active,Inventory Part,AA-708,Andy Arnault Pot (1097),Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot (1097),1,each (ea),Count in each,75,Andrew Arnault,,105,,1097,
Active,Inventory Part,AA-710,Andy Arnault Pot (1099),Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot (1099),1,each (ea),Count in each,75,Andrew Arnault,,105,,1099,
Active,Inventory Part,AA-711,Andy Arnault Pot (1100),Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot (1100),1,each (ea),Count in each,45,Andrew Arnault,,63,,1100,
Active,Inventory Part,AA-712,Andy Arnault Pot (1101),Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot (1101),1,each (ea),Count in each,50,Andrew Arnault,,70,,1101,
Active,Inventory Part,AA-713,Andy Arnault Pot (1105),Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot (1105),1,each (ea),Count in each,70,Andrew Arnault,,98,,1105,
Active,Inventory Part,AA-714,Andy Arnault Pot (1104),Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot (1104),1,each (ea),Count in each,20,Andrew Arnault,,28,,1104,
Active,Inventory Part,AA-716,Andy Arnault Pot (1107),Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot (1107),1,each (ea),Count in each,25,Andrew Arnault,,35,,1107,
Active,Inventory Part,AA-717,Andy Arnault Pot (1108),Tax,Consignment Sales,COG's:Supplies,12100 · Inventory Asset,0,Andy Arnault Pot (1108),1,each (ea),Count in each,25,Andrew Arnault,,35,,1108,
Active,Inventory Part,AA531,Andy Arnault Pot,Tax,Pots:Handmade Pots,COG's:Bonsai Pots,12100 · Inventory Asset,0,Andy Arnault Pot,1,each (ea),Count in each,35,Andrew Arnault,,65,,,
