parent_sku,product_name,variants_sku,quantity,revenue,parent_rev,
jp1529-gr,"13-15"" Green Glazed Japanese Bonsai Pot (No. 1529)",jp1529-gr-la,54," $3,072.30 "," $4,336.05 ",https://www.bonsaioutlet.com/pots/glazed-bonsai-pots/green-planter-1529/
jp1529-gr,"13-15"" Green Glazed Japanese Bonsai Pot (No. 1529)",jp1529-gr-me,16, $844.20 ," $4,336.05 ",
jp1529-gr,"13-15"" Green Glazed Japanese Bonsai Pot (No. 1529)",jp1529-gr-sm,9, $419.55 ," $4,336.05 ",
jp20-38,Brown Unglazed Bonsai Pot,jp2038-la,20, $634.00 ," $3,040.40 ",https://www.bonsaioutlet.com/pots/unglazed-bonsai-pots/brown-unglazed-bonsai-pot/
jp20-38,Brown Unglazed Bonsai Pot,jp2038-sm,18, $369.10 ," $3,040.40 ",
jp20-38,Brown Unglazed Bonsai Pot,jp1917sm,16, $191.20 ," $3,040.40 ",
jp20-38,Brown Unglazed Bonsai Pot,jp2038-me,14, $364.30 ," $3,040.40 ",
jp20-38,Brown Unglazed Bonsai Pot,jp2914sm,14, $462.30 ," $3,040.40 ",
jp20-38,Brown Unglazed Bonsai Pot,jp1917la,12, $191.40 ," $3,040.40 ",
jp20-38,Brown Unglazed Bonsai Pot,jp2914la,10, $514.50 ," $3,040.40 ",
jp20-38,Brown Unglazed Bonsai Pot,jp2914me,8, $313.60 ," $3,040.40 ",
jp-asst-5-box,"5"" Glazed Japanese Bonsai Pots (36 Pots)",JP-ASST-5-BOX,10," $2,950.00 "," $2,950.00 ",https://www.bonsaioutlet.com/pots/glazed-bonsai-pots/0-5-inches/glazed-japanese-bonsai-pots-thirty-six/
jp1529-cr,"13-15"" Cream Glazed Japanese Bonsai Pot (No. 1529)",jp1529-cr-la,32," $1,788.40 "," $2,512.65 ",https://www.bonsaioutlet.com/pots/glazed-bonsai-pots/cream-japanese-1529/
jp1529-cr,"13-15"" Cream Glazed Japanese Bonsai Pot (No. 1529)",jp1529-cr-sm,9, $414.55 ," $2,512.65 ",
jp1529-cr,"13-15"" Cream Glazed Japanese Bonsai Pot (No. 1529)",jp1529-cr-me,6, $309.70 ," $2,512.65 ",
jp1529-bl,"13-15"" Blue Glazed Japanese Bonsai Pot (No. 1529)",jp1529-bl-me,25," $1,268.75 "," $2,262.70 ",https://www.bonsaioutlet.com/pots/glazed-bonsai-pots/blue-japanese-planter-1529/
jp1529-bl,"13-15"" Blue Glazed Japanese Bonsai Pot (No. 1529)",jp1529-bl-sm,19, $879.05 ," $2,262.70 ",
jp1529-bl,"13-15"" Blue Glazed Japanese Bonsai Pot (No. 1529)",jp1529-bl-la,2, $114.90 ," $2,262.70 ",
jp29-13,Light Green Ceramic Japanese Bonsai Pot (Choose Size),jp2913-la,17, $534.15 ," $1,893.25 ",https://www.bonsaioutlet.com/pots/japanese-pots-tokoname/oribe-glazed-jp2913/
jp29-13,Light Green Ceramic Japanese Bonsai Pot (Choose Size),jp2917-sm,12, $410.40 ," $1,893.25 ",
jp29-13,Light Green Ceramic Japanese Bonsai Pot (Choose Size),jp2917-me,11, $399.50 ," $1,893.25 ",
jp29-13,Light Green Ceramic Japanese Bonsai Pot (Choose Size),jp2913-me,6, $159.70 ," $1,893.25 ",
jp29-13,Light Green Ceramic Japanese Bonsai Pot (Choose Size),jp2917-la,6, $304.70 ," $1,893.25 ",
jp29-13,Light Green Ceramic Japanese Bonsai Pot (Choose Size),jp2913-sm,4, $84.80 ," $1,893.25 ",
jp29-15,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",jp2915-me,25, $998.75 ," $1,823.15 ",https://www.bonsaioutlet.com/pots/japanese-pots-tokoname/namako-glazed-2915/
jp29-15,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",jp2911-me,10, $249.50 ," $1,823.15 ",
jp29-15,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",jp2911-la,9, $269.55 ," $1,823.15 ",
jp29-15,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",jp2911-sm,7, $144.65 ," $1,823.15 ",
jp29-15,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",jp-1918sm,2, $28.90 ," $1,823.15 ",
jp29-15,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",jp2915-sm,2, $65.90 ," $1,823.15 ",
jp29-15,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",jp-1918-la,1, $15.95 ," $1,823.15 ",
jp29-15,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",jp2915-la,1, $49.95 ," $1,823.15 ",
jp19-24,Udei (brown) Unglazed Rectangular Bonsai Pot,jp1924-sm,37, $778.15 ," $1,397.00 ",https://www.bonsaioutlet.com/pots/japanese-pots-tokoname/udei-unglazed-1924/
jp19-24,Udei (brown) Unglazed Rectangular Bonsai Pot,jp1924-la,23, $618.85 ," $1,397.00 ",
jp20-42,"6-12"" Glazed Japanese Yellow Bonsai Pot",jp2042-la,12, $369.40 ," $1,199.40 ",bonsaioutlet.com/pots/glazed-bonsai-pots/yellow/
jp20-42,"6-12"" Glazed Japanese Yellow Bonsai Pot",jp2047-la,12, $604.40 ," $1,199.40 ",
jp20-42,"6-12"" Glazed Japanese Yellow Bonsai Pot",jp2042-me,3, $84.85 ," $1,199.40 ",
jp20-42,"6-12"" Glazed Japanese Yellow Bonsai Pot",jp2042-sm,3, $64.85 ," $1,199.40 ",
jp20-42,"6-12"" Glazed Japanese Yellow Bonsai Pot",jp2047-sm,2, $75.90 ," $1,199.40 ",
jp9,"8"" Round Japanese Bonsai Pot",jp0833,22, $419.90 ," $1,184.95 ",https://www.bonsaioutlet.com/pots/glazed-bonsai-pots/jp9/
jp9,"8"" Round Japanese Bonsai Pot",jp0832,17, $355.15 ," $1,184.95 ",
jp9,"8"" Round Japanese Bonsai Pot",jp0834,13, $238.35 ," $1,184.95 ",
jp9,"8"" Round Japanese Bonsai Pot",jp0835,9, $171.55 ," $1,184.95 ",
