parent_sku,variants_sku,inventory_2026_01_01,quantity sold june-december 2025,revenue,product_name,QTY  Need To Purchase
jp1529-gr,jp1529-gr-la,27,54," $3,072.30 ","13-15"" Green Glazed Japanese Bonsai Pot (No. 1529)",27
jp1529-gr,jp1529-gr-me,57,16, $844.20 ,"13-15"" Green Glazed Japanese Bonsai Pot (No. 1529)",0
jp1529-gr,jp1529-gr-sm,97,9, $419.55 ,"13-15"" Green Glazed Japanese Bonsai Pot (No. 1529)",0
jp20-38,jp2038-la,14,20, $634.00 ,Brown Unglazed Bonsai Pot,6
jp20-38,jp2038-sm,60,18, $369.10 ,Brown Unglazed Bonsai Pot,0
jp20-38,jp1917sm,0,16, $191.20 ,Brown Unglazed Bonsai Pot,16
jp20-38,jp2038-me,30,14, $364.30 ,Brown Unglazed Bonsai Pot,-16
jp20-38,jp2914sm,0,14, $462.30 ,Brown Unglazed Bonsai Pot,14
jp20-38,jp1917la,0,12, $191.40 ,Brown Unglazed Bonsai Pot,12
jp20-38,jp2914la,0,10, $514.50 ,Brown Unglazed Bonsai Pot,10
jp20-38,jp2914me,0,8, $313.60 ,Brown Unglazed Bonsai Pot,8
jp-asst-5-box,JP-ASST-5-BOX,0,10," $2,950.00 ","5"" Glazed Japanese Bonsai Pots (36 Pots)",10
jp1529-cr,jp1529-cr-la,6,32," $1,788.40 ","13-15"" Cream Glazed Japanese Bonsai Pot (No. 1529)",26
jp1529-cr,jp1529-cr-sm,58,9, $414.55 ,"13-15"" Cream Glazed Japanese Bonsai Pot (No. 1529)",0
jp1529-cr,jp1529-cr-me,33,6, $309.70 ,"13-15"" Cream Glazed Japanese Bonsai Pot (No. 1529)",0
jp1529-bl,jp1529-bl-me,0,25," $1,268.75 ","13-15"" Blue Glazed Japanese Bonsai Pot (No. 1529)",25
jp1529-bl,jp1529-bl-sm,0,19, $879.05 ,"13-15"" Blue Glazed Japanese Bonsai Pot (No. 1529)",19
jp1529-bl,jp1529-bl-la,0,2, $114.90 ,"13-15"" Blue Glazed Japanese Bonsai Pot (No. 1529)",2
jp29-13,jp2913-la,65,17, $534.15 ,Light Green Ceramic Japanese Bonsai Pot (Choose Size),0
jp29-13,jp2917-sm,0,12, $410.40 ,Light Green Ceramic Japanese Bonsai Pot (Choose Size),12
jp29-13,jp2917-me,19,11, $399.50 ,Light Green Ceramic Japanese Bonsai Pot (Choose Size),-8
jp29-13,jp2913-me,118,6, $159.70 ,Light Green Ceramic Japanese Bonsai Pot (Choose Size),0
jp29-13,jp2917-la,0,6, $304.70 ,Light Green Ceramic Japanese Bonsai Pot (Choose Size),6
jp29-13,jp2913-sm,93,4, $84.80 ,Light Green Ceramic Japanese Bonsai Pot (Choose Size),0
jp29-15,jp2915-me,21,25, $998.75 ,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",4
jp29-15,jp2911-me,130,10, $249.50 ,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",0
jp29-15,jp2911-la,34,9, $269.55 ,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",0
jp29-15,jp2911-sm,104,7, $144.65 ,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",0
jp29-15,jp-1918sm,0,2, $28.90 ,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",2
jp29-15,jp2915-sm,25,2, $65.90 ,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",0
jp29-15,jp-1918-la,0,1, $15.95 ,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",1
jp29-15,jp2915-la,0,1, $49.95 ,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",1
jp19-24,jp1924-sm,0,37, $778.15 ,Udei (brown) Unglazed Rectangular Bonsai Pot,37
jp19-24,jp1924-la,14,23, $618.85 ,Udei (brown) Unglazed Rectangular Bonsai Pot,9
jp20-42,jp2042-la,62,12, $369.40 ,"6-12"" Glazed Japanese Yellow Bonsai Pot",0
jp20-42,jp2047-la,10,12, $604.40 ,"6-12"" Glazed Japanese Yellow Bonsai Pot",2
jp20-42,jp2042-me,193,3, $84.85 ,"6-12"" Glazed Japanese Yellow Bonsai Pot",0
jp20-42,jp2042-sm,181,3, $64.85 ,"6-12"" Glazed Japanese Yellow Bonsai Pot",0
jp20-42,jp2047-sm,27,2, $75.90 ,"6-12"" Glazed Japanese Yellow Bonsai Pot",0
jp9,jp0833,49,22, $419.90 ,"8"" Round Japanese Bonsai Pot",0
jp9,jp0832,66,17, $355.15 ,"8"" Round Japanese Bonsai Pot",0
jp9,jp0834,34,13, $238.35 ,"8"" Round Japanese Bonsai Pot",0
jp9,jp0835,17,9, $171.55 ,"8"" Round Japanese Bonsai Pot",0
